"name","noc","discipline"
"OLYANOVSKA Lyudmila","Ukraine","Athletics"
"OMBISSA-DZANGUE Orlann","France","Athletics"
"OMELCHUK Oleh","Ukraine","Shooting"
"OMOTO Rika","Japan","Swimming"
"OMOTO Sakurako","Japan","Hockey"
"ONDER Ahmet","Turkey","Artistic Gymnastics"
"ONDOLI Chiara","Italy","Rowing"
"ONNEN Imke","Germany","Athletics"
"ONO Shohei","Japan","Judo"
"ONO Yuka","Japan","Canoe Sprint"
"ONODA Himeka","Australia","Rhythmic Gymnastics"
"ONOPRIIENKO Viktoriia","Ukraine","Rhythmic Gymnastics"
"OOSTERWEGEL Emma","Netherlands","Athletics"
"OOSTERWEGEL Hanneke","Netherlands","Athletics"
"OPPO Stefano","Italy","Rowing"
"ORBAN Sarah","Canada","Cycling Track"
"ORDONEZ Saul","Spain","Athletics"
"ORIABINSKAIA Elena","ROC","Rowing"
"ORJI Keturah","United States of America","Athletics"
"ORKEN Ahmet","Turkey","Cycling Road"
"ORSHUSH Stalvira","ROC","Wrestling"
"ORTA SANCHEZ Luis Alberto","Cuba","Wrestling"
"ORTEGA Orlando","Spain","Athletics"
"ORTIZ Bea","Spain","Water Polo"
"ORTIZ Idalys","Cuba","Judo"
"ORUZ Selin","Germany","Hockey"
"ORUZ Timur","Germany","Hockey"
"OSAKA Naomi","Japan","Tennis"
"OSAKO Suguru","Japan","Athletics"
"OSAKUE Daisy","Italy","Athletics"
"OSBORNE Jason","Germany","Rowing"
"OSIKA Shannon","United States of America","Athletics"
"OSIPOVA Elena","ROC","Archery"
"OTANI Mei","Japan","Rugby Sevens"
"OTEIZA Marie","France","Modern Pentathlon"
"OTOGURO Takuto","Japan","Wrestling"
"OTSUKA Shohei","Japan","Athletics"
"OTTERDAHL Payton","United States of America","Athletics"
"OU Yushan","People's Republic of China","Artistic Gymnastics"
"OU Zixia","People's Republic of China","Hockey"
"OUCENI Ludovic","France","Athletics"
"OUMIHA Sofiane","France","Boxing"
"OVCHAROVA Liubov","ROC","Wrestling"
"OVTCHAROV Dimitrij","Germany","Table Tennis"
"OWENS Ryan","Great Britain","Cycling Track"
"OWSLEY Lily","Great Britain","Hockey"
"OYAMA Shigetaka","Japan","Shooting"
"OZBAS Szofi","Hungary","Judo"
"OZBEK Muhammed Furkan","Turkey","Weightlifting"
"OZBILEN Kaan Kigen","Turkey","Athletics"
"OZCELIK ARAPOGLU Serap","Turkey","Karate"
"OZDOBA-BLACH Agata","Poland","Judo"
"OZER Kayhan","Turkey","Athletics"
"OZHOGINA OZHOGIN Alisa","Spain","Artistic Swimming"
"OZKAN Ertan","Turkey","Athletics"
"OZYUKSEL Ilke","Turkey","Modern Pentathlon"
"PACHECO van RIJNSOEVER Tara","Spain","Sailing"
"PACUT Beata","Poland","Judo"
"PAGE Bryony","Great Britain","Trampoline Gymnastics"
"PAGE Gabriella","Canada","Fencing"
"PAHLITZSCH Karolina","Germany","Athletics"
"PAKHNIUK Petro","Ukraine","Artistic Gymnastics"
"PAKI Sariah","Australia","Rugby Sevens"
"PALADIN Soraya","Italy","Cycling Road"
"PALM Gabriella","Australia","Water Polo"
"PALMER James","Canada","Cycling BMX Racing"
"PALMER Keegan","Australia","Skateboarding"
"PALMISANO Antonella","Italy","Athletics"
"PALTRINIERI Gregorio","Italy","Marathon Swimming"
"PALTRINIERI Gregorio","Italy","Swimming"
"PALUCH Paulina","Poland","Athletics"
"PAN Yufei","People's Republic of China","Sport Climbing"
"PANCHIA Jared","New Zealand","Hockey"
"PANCHISHKO Krystyna","Ukraine","Marathon Swimming"
"PANESAR Sukhpal Singh","Canada","Hockey"
"PANG Qianyu","People's Republic of China","Wrestling"
"PANG Wei","People's Republic of China","Shooting"
"PANIZZA Andrea","Italy","Rowing"
"PANIZZON Vittoria","Italy","Equestrian"
"PANZIERA Margherita","Italy","Swimming"
"PAOLETTI Vanina","France","Canoe Sprint"
"PAOLINI Jasmine","Italy","Tennis"
"PAPA Micky","Canada","Skateboarding"
"PAPADAKIS Nefeli","United States of America","Judo"
"PAQUIN Karen","Canada","Rugby Sevens"
"PARATORE Renato","Italy","Golf"
"PARDOE Hector Thomas Cheal","Great Britain","Marathon Swimming"
"PARE Maroussia","France","Athletics"
"PARFETT Sara","Great Britain","Rowing"
"PARK Da-Sol","Republic of Korea","Judo"
"PARK Gunwoo","Republic of Korea","Sailing"
"PARK Heejun","Republic of Korea","Karate"
"PARK Heemoon","Republic of Korea","Shooting"
"PARK Inbee","Republic of Korea","Golf"
"PARK Sangyoung","Republic of Korea","Fencing"
"PARK Skylar","Canada","Taekwondo"
"PARK Wanyong","Republic of Korea","Rugby Sevens"
"PARKER Caitlin","Australia","Boxing"
"PARKES Rebecca","Hungary","Water Polo"
"PARLATI Christian","Italy","Judo"
"PARNOVA Elizaveta","Australia","Athletics"
"PARRATTO Jessica","United States of America","Diving"
"PARRO Carlos","Brazil","Equestrian"
"PARRY Shannon","Australia","Rugby Sevens"
"PARTI Andras","Hungary","Cycling Mountain Bike"
"PARTYKA Natalia","Poland","Table Tennis"
"PASCUAL Pedro","United States of America","Sailing"
"PASHLEY Ellie","Australia","Athletics"
"PASZTOR Flora","Hungary","Fencing"
"PASZTOR Matyas","Hungary","Water Polo"
"PATELLI Alessandra","Italy","Rowing"
"PATIENCE Luke","Great Britain","Sailing"
"PATSKEVICH Alexandra","ROC","Artistic Swimming"
"PATTA Lorenzo","Italy","Athletics"
"PATTEN Giorgia","Australia","Rowing"
"PATTERSON Eleanor","Australia","Athletics"
"PAUL Kindred","Canada","Water Polo"
"PAUL Tommy","United States of America","Tennis"
"PAULINA Hensley","Netherlands","Athletics"
"PAULIS Ilse","Netherlands","Rowing"
"PAUTY Maxime","France","Fencing"
"PAVADE Prithika","France","Table Tennis"
"PAVLOVA Anastasiia","Ukraine","Archery"
"PAVLYUCHENKOVA Anastasia","ROC","Tennis"
"PAWLAK Joanna","Poland","Equestrian"
"PAYNE Doug","United States of America","Equestrian"
"PAYNE Oliver","Great Britain","Hockey"
"PAYNE Sydney","Canada","Rowing"
"PAYTON Malaina","United States of America","Athletics"
"PEARCE Simone","Australia","Equestrian"
"PEARNE-WEBB Hollie","Great Britain","Hockey"
"PEARSON Mark Alistair John","Canada","Hockey"
"PEARSON Morgan","United States of America","Triathlon"
"PEATY Adam","Great Britain","Swimming"
"PEDROSO Yadisleidis","Italy","Athletics"
"PEERS John","Australia","Tennis"
"PEGULA Jessica","United States of America","Tennis"
"PEKLER Zalan","Hungary","Shooting"
"PELETEIRO Ana","Spain","Athletics"
"PELIER CORDOVA Jose Ramon","Cuba","Canoe Sprint"
"PELITE Evania","Australia","Rugby Sevens"
"PELLACANI Chiara","Italy","Diving"
"PELLAUD Rachel","Switzerland","Athletics"
"PELLE Chloe","France","Rugby Sevens"
"PELLEGRINI Federica","Italy","Swimming"
"PENA FLORES Yosvanys","Cuba","Wrestling"
"PENA Inigo","Spain","Canoe Sprint"
"PENA Pili","Spain","Water Polo"
"PENDREL Catharine","Canada","Cycling Mountain Bike"
"PENG Fei","People's Republic of China","Wrestling"
"PENG Jianhua","People's Republic of China","Athletics"
"PENG Lin","People's Republic of China","Water Polo"
"PENG Xuwei","People's Republic of China","Swimming"
"PENG Yang","People's Republic of China","Hockey"
"PENI Istvan","Hungary","Shooting"
"PENTY Toby","Great Britain","Badminton"
"PEPONNET Kevin","France","Sailing"
"PEREIRA Brandon Anthony","Canada","Hockey"
"PEREIRA Keegan Reginald","Canada","Hockey"
"PERENC Agata","Poland","Judo"
"PEREVOZNIKOV Serhiy","Ukraine","Athletics"
"PEREZ BLANCO Jimena","Spain","Swimming"
"PEREZ BOX Ana","Spain","Judo"
"PEREZ Ellen","Australia","Tennis"
"PEREZ LAGUNAS Beatriz","Spain","Hockey"
"PEREZ Laina","Cuba","Shooting"
"PEREZ Leyanis","Cuba","Athletics"
"PEREZ Maria Isabel","Spain","Athletics"
"PEREZ Maria","Spain","Athletics"
"PEREZ Marta","Spain","Athletics"
"PEREZ POLO Javier","Spain","Taekwondo"
"PEREZ Yaime","Cuba","Athletics"
"PERGEL Szandra","Hungary","Table Tennis"
"PERIAULT Leonie","France","Triathlon"
"PERIS Brooke","Australia","Hockey"
"PERO Dainier","Cuba","Boxing"
"PERRONE ROCHA Felipe","Spain","Water Polo"
"PESOTSKA Margaryta","Ukraine","Table Tennis"
"PETCH Rebecca","New Zealand","Cycling BMX Racing"
"PETCHAME BONASTRE Carlota","Spain","Hockey"
"PETERS Jacob Thomas Taylor","Great Britain","Swimming"
"PETERS Steffen","United States of America","Equestrian"
"PETERVARI-MOLNAR Bendeguz","Hungary","Rowing"
"PETISCO Alba","Spain","Artistic Gymnastics"
"PETIT Emmanuel","France","Shooting"
"PETROS Amanal","Germany","Athletics"
"PETRUCCIANI Ricky","Switzerland","Athletics"
"PETTER Isabelle","Great Britain","Hockey"
"PFEIFFER Hendrik","Germany","Athletics"
"PHELUT Alexis","France","Athletics"
"PHENINCKX Malou","Netherlands","Hockey"
"PHILIP Asha","Great Britain","Athletics"
"PHILLIPS Will","Australia","Sailing"
"PHILPOTT Bundy","New Zealand","Equestrian"
"PHOENIX Jessica","Canada","Equestrian"
"PIASECKI Jess","Great Britain","Athletics"
"PICCOLI Enrica","Italy","Artistic Swimming"
"PICCOLRUAZ Michael","Italy","Sport Climbing"
"PICKERING Jessica","Australia","Trampoline Gymnastics"
"PICKREM Sydney","Canada","Swimming"
"PICON Charline","France","Sailing"
"PIDCOCK Thomas","Great Britain","Cycling Mountain Bike"
"PIDHORESKY Dayna","Canada","Athletics"
"PIEKARSKA-TWARDOCHEL Magdalena","Poland","Fencing"
"PIEPER Cecile","Germany","Hockey"
"PIERA GRAU Llorenc","Spain","Hockey"
"PIETERS Amy","Netherlands","Cycling Track"
"PIETRUSCHKA Marie","Germany","Swimming"
"PIETSCH Dylan","Australia","Rugby Sevens"
"PIGNICZKI Fanni","Hungary","Rhythmic Gymnastics"
"PIGOSSI Laura","Brazil","Tennis"
"PIJNENBURG Stan","Netherlands","Swimming"
"PIKULIK Wiktoria","Poland","Cycling Track"
"PILATO Benedetta","Italy","Swimming"
"PIMENTA Larissa","Brazil","Judo"
"PINCUS Joe","Australia","Rugby Sevens"
"PINOT Margaux","France","Judo"
"PINTO Tatjana","Germany","Athletics"
"PIPI Ama","Great Britain","Athletics"
"PIRCIO Nicole","Brazil","Rhythmic Gymnastics"
"PISKUNOV Hlib","Ukraine","Athletics"
"PITCHFORD Liam","Great Britain","Table Tennis"
"PITIRIMOVA Ekaterina","ROC","Rowing"
"PITMAN Bryony","Great Britain","Archery"
"PLAFKY Moritz","Germany","Judo"
"PLAPP Lucas","Australia","Cycling Track"
"PLATA Joel","Spain","Artistic Gymnastics"
"PLETNEVA Elizaveta","United States of America","Rhythmic Gymnastics"
"PLICHTA Anna","Poland","Cycling Road"
"PLIHON Pierre","France","Archery"
"PLOESSEL Thomas","Germany","Sailing"
"PLOUFFE Maeve","Australia","Cycling Track"
"POCHTAROV Artem","Ukraine","Badminton"
"PODOLSKAIA Natalia","ROC","Canoe Sprint"
"POGGIO Federico","Italy","Swimming"
"POGREBNIAK Mariia","ROC","Rugby Sevens"
"POHLE Hagen","Germany","Athletics"
"POHORILKO Oleksandr","Ukraine","Athletics"
"POHRANYCHNA Khrystyna","Ukraine","Rhythmic Gymnastics"
"POLANCO RIJO Hillary Wanderson","Italy","Athletics"
"POLIAKOVA Mariia","ROC","Diving"
"POLIASHOV Vladislav","ROC","Artistic Gymnastics"
"POLINARI Anna","Italy","Athletics"
"POLYANSKIY Dmitry","ROC","Triathlon"
"POLYANSKIY Igor","ROC","Triathlon"
"PONS GENESCA Julia","Spain","Hockey"
"PONS RAMON Joan Lluis","Spain","Swimming"
"PONTE FERRAZ Simone","Brazil","Athletics"
"PONTES Edival","Brazil","Taekwondo"
"PONTI Noe","Switzerland","Swimming"
"PONTVIANNE Jean-Marc","France","Athletics"
"PONZIO Nick","Italy","Athletics"
"POPA Rosemary","Australia","Rowing"
"POPA Roxana","Spain","Artistic Gymnastics"
"POPOV Sophia","Germany","Golf"
"POPOWICZ-DRAPALA Marika","Poland","Athletics"
"POPP Eduard","Germany","Wrestling"
"PORTE Richie","Australia","Cycling Road"
"PORTELA Maria","Brazil","Judo"
"PORTELA Teresa","Spain","Canoe Sprint"
"PORTER Alexander","Australia","Cycling Track"
"PORTER Tiffany","Great Britain","Athletics"
"POSADSKIKH Elizaveta","ROC","Cycling BMX Freestyle"
"POSNIK Szymon","Poland","Rowing"
"POTA Georgina","Hungary","Table Tennis"
"POTAPKIN Andrey","ROC","Rowing"
"POTHAIN Jordan","France","Swimming"
"POULIN Pierre-Luc","Canada","Canoe Sprint"
"POURI-LANE Risi","New Zealand","Rugby Sevens"
"POVEA Liadagmis","Cuba","Athletics"
"POVKH Mariya","Ukraine","Canoe Sprint"
"POWELL David","Australia","Table Tennis"
"POWELL Natalie","Great Britain","Judo"
"POWER Nathan","Australia","Water Polo"
"POZDNIAKOVA Sofia","ROC","Fencing"
"POZZATTI Gianluca","Italy","Triathlon"
"POZZI Andrew","Great Britain","Athletics"
"PRADES Valentin","France","Modern Pentathlon"
"PRAKATSEN Hanna","ROC","Rowing"
"PRATT Aimee","Great Britain","Athletics"
"PRATT Cole","Canada","Swimming"
"PRATT Halle","Canada","Artistic Swimming"
"PREIS Constantin","Germany","Athletics"
"PREISNER Ben","Canada","Athletics"
"PRENDERGAST Grace","New Zealand","Rowing"
"PRESCIUTTI Nicholas","Italy","Water Polo"
"PRESCOD Reece","Great Britain","Athletics"
"PRESSER Rachel","Australia","Artistic Swimming"
"PRICE Jonelle","New Zealand","Equestrian"
"PRICE Lauren","Great Britain","Boxing"
"PRICE Madeline","Canada","Athletics"
"PRICE Tim","New Zealand","Equestrian"
"PRIGODA Kirill","ROC","Swimming"
"PRODAN Oleksandr","Ukraine","Equestrian"
"PROKOFYEVA Ekaterina","ROC","Water Polo"
"PROKOFYEVA Yeheniya","Ukraine","Athletics"
"PRONKIN Valeriy","ROC","Athletics"
"PROSTOROV Mykola","Ukraine","Trampoline Gymnastics"
"PROTSENKO Andriy","Ukraine","Athletics"
"PROUD Benjamin","Great Britain","Swimming"
"PRUFER Clemens","Germany","Athletics"
"PRUIJSER Mirco","Netherlands","Hockey"
"PRZYBYLKO Mateusz","Germany","Athletics"
"PRZYBYTEK Lukasz","Poland","Sailing"
"PSZCZOLARSKI Wojciech","Poland","Cycling Track"
"PUDENZ Kristin","Germany","Athletics"
"PUETZ Tim","Germany","Tennis"
"PULAWSKA Anna","Poland","Canoe Sprint"
"PUMPUTIS Caio","Brazil","Swimming"
"PUNZEL Tina","Germany","Diving"
"PUPO Leuris","Cuba","Shooting"
"PUPP Reka","Hungary","Judo"
"PURCELL Max","Australia","Tennis"
"PURNELL Alexander","Australia","Rowing"
"PURNELL Nicholas","Australia","Rowing"
"PURRIER ST. PIERRE Elinor","United States of America","Athletics"
"PUSZTAI Liza","Hungary","Fencing"
"PUTS Jesse","Netherlands","Swimming"
"PYROZHENKO-CHORNOMAZ Natalya","Ukraine","Athletics"
"PYSMENSKA Anna","Ukraine","Diving"
"QI Xuefei","France","Badminton"
"QIAN Jiarui","People's Republic of China","Fencing"
"QIEYANG Shijie","People's Republic of China","Athletics"
"QIN Esther","Australia","Diving"
"QIN Haiyang","People's Republic of China","Swimming"
"QIN Miaomiao","People's Republic of China","Rowing"
"QUADARELLA Simona","Italy","Swimming"
"QUADROS Ketleyn","Brazil","Judo"
"QUAN Hongchan","People's Republic of China","Diving"
"QUAN Xin","People's Republic of China","Canoe Slalom"
"QUEIROZ dos SANTOS Isaquias","Brazil","Canoe Sprint"
"QUEMADA CADAFALCH Pau","Spain","Hockey"
"QUILES BROTONS Jose","Spain","Boxing"
"QUINTAS Pedro","Brazil","Skateboarding"
"QUINTERO Damian","Spain","Karate"
"QUIQUAMPOIX Jean","France","Shooting"
"QUIRICI Elena","Switzerland","Karate"
"RACHIK Yassine","Italy","Athletics"
"RADIVILOV Igor","Ukraine","Artistic Gymnastics"
"RAESS Jonas","Switzerland","Athletics"
"RAFFIN Melvin","France","Athletics"
"RAHM Jon","Spain","Golf"
"RAILEY Paige","United States of America","Sailing"
"RALPH Hope","New Zealand","Hockey"
"RAM Rajeev","United States of America","Tennis"
"RAMBALDI Luca","Italy","Rowing"
"RAMIREZ IBANEZ Paula","Spain","Artistic Swimming"
"RAMIREZ Yeisser","United States of America","Fencing"
"RAMSDEN Matthew","Australia","Athletics"
"RAMSEY Ariana","United States of America","Rugby Sevens"
"RAMSEY Jessica","United States of America","Athletics"
"RAMSHAW Tom","Canada","Sailing"
"RANDAZZO Filippo","Italy","Athletics"
"RANVIER Pauline","France","Fencing"
"RAPPAPORT Summer","United States of America","Triathlon"
"RASHIDOV Gadzhimurad","ROC","Wrestling"
"RASOVSZKY Kristof","Hungary","Marathon Swimming"
"RATCLIFFE Julia","New Zealand","Athletics"
"RAUHE Ronald","Germany","Canoe Sprint"
"RAVERA-SCARAMOZZINO Elodie","France","Rowing"
"RAYER Elena Sian","Great Britain","Hockey"
"RAYNER Jack","Australia","Athletics"
"RAZARENOVA Alexandra","ROC","Triathlon"
"RAZZETTI Alberto","Italy","Swimming"
"RE Davide","Italy","Athletics"
"REAIS William","Switzerland","Athletics"
"REBAGLIATI Chiara","Italy","Archery"
"RECASENS LLOBET Marc","Spain","Hockey"
"RECBER Hakan","Turkey","Taekwondo"
"RECKFORD Mary","United States of America","Rowing"
"REDONDO MORA Laura","Spain","Athletics"
"REED Andrew","United States of America","Rowing"
"REEKIE Jemma","Great Britain","Athletics"
"REESE Brittney","United States of America","Athletics"
"REGAL Caitlin","New Zealand","Canoe Sprint"
"REGINI-MORAN Giarnni","Great Britain","Artistic Gymnastics"
"REICHMUTH Stefan","Switzerland","Wrestling"
"REID Grace","Great Britain","Diving"
"REID Katie","Great Britain","Canoe Sprint"
"REID Melissa","Great Britain","Golf"
"REID Tayler","New Zealand","Triathlon"
"REID Zac","New Zealand","Swimming"
"REINHARDT Theo","Germany","Cycling Track"
"REINLE Cynthia","Switzerland","Athletics"
"REITZ Christian","Germany","Shooting"
"REIZLIN Igor","Ukraine","Fencing"
"RENDSCHMIDT Max","Germany","Canoe Sprint"
"RENE Marvin","France","Athletics"
"RENSHALL Lucy","Great Britain","Judo"
"RENSHAW Molly","Great Britain","Swimming"
"REPACHOLI Daniel","Australia","Shooting"
"RESHETNIKOV Veniamin","ROC","Fencing"
"RESSEL Dominic","Germany","Judo"
"RESTIVO Matteo","Italy","Swimming"
"RETORNAZ Aloise","France","Sailing"
"REUS Julian","Germany","Athletics"
"REUSSER Marlen","Switzerland","Cycling Road"
"REW Quentin","New Zealand","Athletics"
"REYES PLA Enmanuel","Spain","Boxing"
"REYNOLDS Heimana","United States of America","Skateboarding"
"REYNOLDS Lauren","Australia","Cycling BMX Racing"
"REYNOLDS Shannon","Australia","Canoe Sprint"
"REZENDE Renato","Brazil","Cycling BMX Racing"
"REZNIK Kateryna","Ukraine","Artistic Swimming"
"RIBEIRO Aline","Brazil","Rugby Sevens"
"RICHARDS Alexander","United States of America","Rowing"
"RICHARDS Evie","Great Britain","Cycling Mountain Bike"
"RICHARDS Matthew","Great Britain","Swimming"
"RICHARDSON Matthew","Australia","Cycling Track"
"RIDENOUR Payton","United States of America","Cycling BMX Racing"
"RIDGE Amy","Australia","Water Polo"
"RIEDEMANN Laura","Germany","Swimming"
"RIEDER Celine","Germany","Swimming"
"RIENDEAU Vincent","Canada","Diving"
"RIERA ZUZUARREGUI Lola","Spain","Hockey"
"RIGNEY Tara","Australia","Rowing"
"RILEY Jacob","United States of America","Athletics"
"RINER Teddy","France","Judo"
"RINGER Richard","Germany","Athletics"
"RISELEY Jeffrey","Australia","Athletics"
"RISKE Alison","United States of America","Tennis"
"RITSEMA Nelson","Netherlands","Rowing"
"RIVASZ-TOTH Norbert","Hungary","Athletics"
"RIVERA Coryn","United States of America","Cycling Road"
"RIVIERE Mathilde","France","Wrestling"
"RIZAEV Irek","ROC","Cycling BMX Freestyle"
"RIZZA Manfredi","Italy","Canoe Sprint"
"ROACH Aidan","Australia","Water Polo"
"ROACHE Dietrich Peter","Australia","Rugby Sevens"
"ROBERT Benjamin","France","Athletics"
"ROBERT-MICHON Melina","France","Athletics"
"ROBERTS Daniel","United States of America","Athletics"
"ROBERTS Hannah","United States of America","Cycling BMX Freestyle"
"ROBERTS Jaime","Australia","Canoe Sprint"
"ROBERTSON Sarah","Great Britain","Hockey"
"ROBERTSON Zane","New Zealand","Athletics"
"ROBINSON Brett","Australia","Athletics"
"ROBLE Stephanie","United States of America","Sailing"
"ROBLES Alvaro","Spain","Table Tennis"
"ROBLES Carolina","Spain","Athletics"
"ROBLES Sarah Elizabeth","United States of America","Weightlifting"
"ROCEK Aisha","Italy","Rowing"
"ROCHA de SENA Erica","Brazil","Athletics"
"RODINI Valentina","Italy","Rowing"
"RODNEY Brendon","Canada","Athletics"
"RODRIGUES Eduardo","Brazil","Athletics"
"RODRIGUES PACHECO Isadora","Brazil","Skateboarding"
"RODRIGUEZ Lucia","Spain","Athletics"
"RODRIGUEZ MITJAN Marina de la Cari.","Cuba","Weightlifting"
"RODRIGUEZ GARCIA-PAZ Nicolas","Spain","Sailing"
"RODRIGUEZ PEREZ Joel","Spain","Sailing"
"RODRIGUEZ Yorgelis","Cuba","Athletics"
"ROELL Boudewijn","Netherlands","Rowing"
"ROEOESLI Roman","Switzerland","Rowing"
"ROGAVA Tsotne","Ukraine","Boxing"
"ROGERS Camryn","Canada","Athletics"
"ROGERS Martha Ann","United States of America","Weightlifting"
"ROGERS Raevyn","United States of America","Athletics"
"ROGGENSACK Olaf","Germany","Rowing"
"ROGORA Laura","Italy","Sport Climbing"
"ROHDE Leon","Germany","Cycling Track"
"ROJER Jean-Julien","Netherlands","Tennis"
"ROL Frederique","Switzerland","Rowing"
"ROMAN Lisa","Canada","Rowing"
"ROMANCHUK Mykhailo","Ukraine","Swimming"
"ROMANI Darlan","Brazil","Athletics"
"ROMASENKO Olesia","ROC","Canoe Sprint"
"ROMASHINA Svetlana","ROC","Artistic Swimming"
"ROMERO Natalia","Spain","Athletics"
"ROMEU ARGEMI Josep","Spain","Hockey"
"ROMEU Jucielen","Brazil","Boxing"
"ROMMELMANN Jonathan","Germany","Rowing"
"RONG Ningning","People's Republic of China","Wrestling"
"ROOK James","Australia","Rowing"
"ROONEY Natalie","New Zealand","Shooting"
"ROPER Christine","Canada","Rowing"
"ROPER Phillip","Great Britain","Hockey"
"ROSA FIGUEIREDO Nathasha","Brazil","Weightlifting"
"ROSA Pamela","Brazil","Skateboarding"
"ROSA Vitoria Cristina","Brazil","Athletics"
"ROSE Shane","Australia","Equestrian"
"ROSETTI Bruno","Italy","Rowing"
"ROSILLO KINDELAN Gabriel Alejandro","Cuba","Wrestling"
"ROSOLSKA Alicja","Poland","Tennis"
"ROSS Beth","New Zealand","Rowing"
"ROSS Nick","New Zealand","Hockey"
"ROSS Nicole","United States of America","Fencing"
"ROSSET Matthieu","France","Diving"
"ROSSETTI Gabriele","Italy","Shooting"
"ROSSI Jessica","Italy","Shooting"
"ROSSITER Jack","Australia","Shooting"
"ROSSITER Matthew","Great Britain","Rowing"
"ROTTER FOCKEN Aline","Germany","Wrestling"
"ROUSSEAU Cassiel","Australia","Diving"
"ROWDEN Daniel","Great Britain","Athletics"
"ROWE Georgina","Australia","Rowing"
"ROWLAND Helena","Great Britain","Rugby Sevens"
"ROYLE Aaron","Australia","Triathlon"
"ROZMYS Michal","Poland","Athletics"
"ROZNER Antoine","France","Golf"
"RUAL Lucas","France","Sailing"
"RUAN Hongting","People's Republic of China","Rugby Sevens"
"RUBIE-RENSHAW Anneliese","Australia","Athletics"
"RUBLEV Andrey","ROC","Tennis"
"RUBTSOV Aleksey","ROC","Sport Climbing"
"RUCK Taylor","Canada","Swimming"
"RUDIGER Lars","Germany","Diving"
"RUDKIN James","Great Britain","Rowing"
"RUDYK Mateusz","Poland","Cycling Track"
"RUHR Jan Christopher","Germany","Hockey"
"RUIU Davide","Italy","Weightlifting"
"RUIZ BRAVO Paula","Spain","Marathon Swimming"
"RUIZ CASTILLO Maria de los Angeles","Spain","Hockey"
"RUIZ Elena","Spain","Water Polo"
"RUIZ I VELASCO Marcos","Spain","Weightlifting"
"RUIZ TORRUELLA Vicenc","Spain","Hockey"
"RUPP Galen","United States of America","Athletics"
"RUSHER Alison","United States of America","Rowing"
"RUSSELL Kane","New Zealand","Hockey"
"RUSSELL Michelle","Canada","Canoe Sprint"
"RUSSO Francesca","United States of America","Fencing"
"RUTA Pietro","Italy","Rowing"
"RYAN Jaime","Australia","Sailing"
"RYAN Kelleigh","Canada","Fencing"
"RYAN Kendall","United States of America","Cycling Track"
"RYAN Will","Australia","Sailing"
"RYBANSKA Natasa","Hungary","Water Polo"
"RYBICKI Kamil","Poland","Wrestling"
"RYLOV Evgeny","ROC","Swimming"
"RYU Hansu","Republic of Korea","Wrestling"
"RYU Sunghyun","Republic of Korea","Artistic Gymnastics"
"RYZHYKOVA Anna","Ukraine","Athletics"
"RZEZNICZAK Mateusz","Poland","Athletics"
"SABBATINI Gaia","Italy","Athletics"
"SABBIONI Simone","Italy","Swimming"
"SABLONE Alexis","United States of America","Skateboarding"
"SADO Kazuki","Japan","Equestrian"
"SADULAEV Abdulrashid","ROC","Wrestling"
"SAEZ VERA Olfides","Cuba","Weightlifting"
"SAFIN Timur","ROC","Fencing"
"SAGO Naoto","Japan","Karate"
"SAHUTOGLU Tugce","Turkey","Athletics"
"SAITO Ami","Japan","Athletics"
"SAITO Koki","Japan","Equestrian"
"SAITO Toshiya","Japan","Fencing"
"SAJDAK Maria","Poland","Rowing"
"SAJNOK Szymon","Poland","Cycling Track"
"SAKA Berke","Turkey","Swimming"
"SAKAI Katsuyuki","Japan","Rugby Sevens"
"SAKAI Natsumi","Japan","Swimming"
"SAKAI Ryosuke","Japan","Trampoline Gymnastics"
"SAKAI Sho","Japan","Diving"
"SAKAKIBARA Saya","Australia","Cycling BMX Racing"
"SAKCI Huseyin","Turkey","Swimming"
"SAKHARUK Mariia","Ukraine","Athletics"
"SALADUKHA Olha","Ukraine","Athletics"
"SALAMATINA Valeriia","ROC","Swimming"
"SALAS PEREZ Reineris","Cuba","Wrestling"
"SALDANA LOPEZ Sara","Spain","Artistic Swimming"
"SALIM Omar","Hungary","Taekwondo"
"SALISBURY Joe","Great Britain","Tennis"
"SALLES ESTEVE Marc","Spain","Hockey"
"SALMONS Regina","United States of America","Rowing"
"SALVISBERG Andrea","Switzerland","Triathlon"
"SAMBA-MAYELA Cyrena","France","Athletics"
"SAMELE Luigi","Italy","Fencing"
"SAMPSON Dane","Australia","Shooting"
"SAMUEL Jamile","Netherlands","Athletics"
"SANAHUJA Bernat","Spain","Water Polo"
"SANCHEZ GONZALEZ Maria Elena","Spain","Water Polo"
"SANCHEZ HERRERO Ricardo","Spain","Hockey"
"SANCHEZ JAIME Sandra","Spain","Karate"
"SANCHEZ Kayla","Canada","Swimming"
"SANCHEZ LOPEZ David","Spain","Weightlifting"
"SANCHEZ RODRIGUEZ Yudari","Cuba","Wrestling"
"SANCHEZ-ESCRIBANO Irene","Spain","Athletics"
"SANCHEZ-VALLADARES Pablo","Spain","Athletics"
"SANCHO Alejandro","United States of America","Wrestling"
"SANDERS Manuel","Germany","Athletics"
"SANDERS Storm","Australia","Tennis"
"SANDERSON Kate Farley","Canada","Marathon Swimming"
"SANDGREN Tennys","United States of America","Tennis"
"SANFORD Liam","Great Britain","Hockey"
"SANFORD Wyatt","Canada","Boxing"
"SANI BROWN Abdul Hakim","Japan","Athletics"
